experiment_name,mode,branch,family,backbone,model_name,pretrained,loss,scheduler,label_smoothing,mixup_alpha,cutmix_alpha,feature_attention,class_weighting,expert_classes,epochs,batch_size,image_size,lr,weight_decay,min_lr,seed,train_size,valid_size,test_size,best_epoch_main,best_epoch_expert,valid_acc,valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1,test_expert_invocations,test_expert_changed,test_expert_corrected,test_expert_hurt,elapsed_seconds
v1.0_scratch_ce_cpu,single,single,v1.0_scratch_ce_cpu,efficientnet_b0,efficientnet_b0,False,,,,,,,,,20,16,224,0.0003,0.0001,,42,613,72,315,15,,62.50%,0.6480,39.68%,0.4427,0.3663,,,,,1746.7131
v1.1_scratch_ce_cuda,single,single,v1.1_scratch_ce_cuda,efficientnet_b0,efficientnet_b0,False,cross_entropy,none,0,0,0,none,none,,25,16,224,0.0003,0.0001,0,42,613,72,315,23,,69.44%,0.7144,40.63%,0.4488,0.3916,,,,,185.4095
v2.0_pretrained_ce,single,single,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,True,,,,,,,,,25,16,224,0.0003,0.0001,,42,613,72,315,23,,91.67%,0.9173,76.19%,0.7721,0.7656,,,,,129.6971
v2.0_pretrained_ce_b1,single,single,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,613,72,315,18,,84.72%,0.8567,86.67%,0.8771,0.8666,,,,,214.6863
v2.0_pretrained_ce_b2,single,single,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,613,72,315,23,,91.67%,0.9213,88.89%,0.9000,0.8890,,,,,209.6463
v2.0_pretrained_ce_b3,single,single,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,613,72,315,4,,94.44%,0.9458,91.43%,0.9237,0.9140,,,,,225.9086
v2.0_pretrained_ce_b4,single,single,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,613,72,315,18,,86.11%,0.8620,82.54%,0.8484,0.8253,,,,,298.5888
expert_tumor3_v2.0_pretrained_ce_b1,expert,expert_tumor3,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,465,59,261,19,,86.44%,0.8598,37.16%,0.3680,0.3603,,,,,158.5575
expert_tumor3_v2.0_pretrained_ce_b2,expert,expert_tumor3,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,465,59,261,21,,91.53%,0.9143,88.51%,0.8865,0.8851,,,,,157.0555
expert_tumor3_v2.0_pretrained_ce_b3,expert,expert_tumor3,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,465,59,261,16,,93.22%,0.9302,83.91%,0.8227,0.8466,,,,,184.0112
expert_tumor3_v2.0_pretrained_ce_b4,expert,expert_tumor3,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,465,59,261,14,,89.83%,0.8967,90.80%,0.9067,0.9075,,,,,228.2857
expert_pair_ad_lc_v2.0_pretrained_ce,expert,expert_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,224,0.0003,0.0001,0,42,310,44,171,22,,93.18%,0.9315,45.61%,0.4452,0.4138,,,,,82.1408
expert_pair_ad_lc_v2.0_pretrained_ce_b1,expert,expert_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,310,44,171,6,,86.36%,0.8590,92.40%,0.9065,0.9228,,,,,129.0479
expert_pair_ad_lc_v2.0_pretrained_ce_b2,expert,expert_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,310,44,171,24,,93.18%,0.9309,90.64%,0.8947,0.9089,,,,,125.0923
expert_pair_ad_lc_v2.0_pretrained_ce_b3,expert,expert_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,310,44,171,14,,90.91%,0.9074,95.32%,0.9447,0.9535,,,,,134.3376
expert_pair_ad_lc_v2.0_pretrained_ce_b4,expert,expert_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,310,44,171,3,,86.36%,0.8611,88.30%,0.8618,0.8837,,,,,177.4167
expert_pair_ad_sq_v2.0_pretrained_ce,expert,expert_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,224,0.0003,0.0001,0,42,350,38,210,13,,100.00%,1.0000,88.10%,0.8779,0.8807,,,,,85.9446
expert_pair_ad_sq_v2.0_pretrained_ce_b1,expert,expert_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,350,38,210,19,,100.00%,1.0000,84.29%,0.8406,0.8433,,,,,133.7071
expert_pair_ad_sq_v2.0_pretrained_ce_b2,expert,expert_pair_ad_sq,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,True,cross_entropy,none,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,350,38,210,6,,100.00%,1.0000,91.90%,0.9181,0.9193,,,,,131.4444
